State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Pennsylvania,1951,36,36.4,43,53.6,63.6,71.2,76.9,74.9,68.3,60.2,42.5,38.6,55.4
Pennsylvania,1952,37.3,38.2,41.2,55.4,61.7,74.7,80.1,75.1,68.5,53.8,46.6,38.5,55.9
Pennsylvania,1953,38,38.8,45.1,53,65.3,73.2,77.9,75.3,69.4,59.5,46.7,39.4,56.8
Pennsylvania,1954,31.6,41.2,42.3,56.3,61.1,72.9,77.9,73.5,69.1,61.2,45.4,36,55.7
Pennsylvania,1955,32.6,36.1,44.4,55.9,66,69.2,81.4,78.1,68,59,44,30.5,55.4
Pennsylvania,1956,32.1,37.6,38.7,49.9,60.9,72.2,73.5,74.1,65.2,57.7,46.3,41.6,54.2
Pennsylvania,1957,29.2,37.4,42.3,54.2,63.4,74.9,76.5,73.2,69.2,54.1,47.7,39.4,55.1
Pennsylvania,1958,31.8,28.2,39.9,54.2,61.2,67.8,77.4,73.4,65.9,55.7,46.6,29.4,52.6
Pennsylvania,1959,31.5,33.2,41.5,54.8,66.3,72.2,75.9,76.5,70.7,60,45.2,38.2,55.5
Pennsylvania,1960,34.2,35.3,32.6,56.7,61.2,70.6,73.3,74.5,67.3,54.8,45.4,27.6,52.8
Pennsylvania,1961,25,34,43.1,49.8,58.5,69.9,75.5,73.5,71.5,55.7,45.2,31,52.7
Pennsylvania,1962,30,30.3,40.5,51.9,64.1,71.7,72,72,63,56.2,42,31,52.1
Pennsylvania,1963,27.4,26.4,42.8,52.4,60.2,70.4,76,71.2,62.8,57.1,48,27.9,51.9
Pennsylvania,1964,33,31.8,42.6,50.8,65,72.4,76.6,72.1,67.2,52.6,47.1,37.4,54.1
Pennsylvania,1965,29.1,33.3,37.6,49,65.5,70,74.1,73.1,69.2,53.7,44.2,37,53
Pennsylvania,1966,29,31.5,42.5,47.8,59.4,72.1,77.9,74.8,65.2,53.1,46.8,35.4,53
Pennsylvania,1967,36,29,38.5,51.7,55.9,72.1,76.6,75.1,67,56.8,42.7,38.5,53.3
Pennsylvania,1968,28.8,30.4,44.4,54.6,59.6,71.2,77.1,77.7,69.4,58.1,45.5,32.3,54.1
Pennsylvania,1969,29.8,32,39.6,55.3,64.6,73.4,75.1,75.2,67.2,55,44.4,33.5,53.8
Pennsylvania,1970,24.5,33,38.3,51.5,64.9,71.6,76.9,76.7,72,60,48.1,35.8,54.4
Pennsylvania,1971,27.8,36.1,40.7,51.6,60.9,74.3,77.4,75.2,71.6,63.5,46.1,41.5,55.6
Pennsylvania,1972,35.1,32.4,40.7,49.7,63.6,68.7,77.1,75.9,69.2,52.6,43.6,39.9,54
Pennsylvania,1973,34.4,33.6,47.1,53.4,60.2,74.6,77.9,78.7,70.6,59.2,47.9,38.6,56.4
